symbol,name,price,marketCap,volume,industry
LIN,Linde plc Ordinary Shares,465.0,214355775795.0,401836,Basic Materials
SCCO,Southern Copper Corporation Common Stock,187.92,156787614192.0,340544,Basic Materials
NEM,Newmont Corporation,122.52,129098377043.0,2727604,Basic Materials
FCX,Freeport-McMoRan Inc. Common Stock,69.34,99573455045.0,5370592,Basic Materials
APD,Air Products and Chemicals Inc. Common Stock,288.655,64279291662.0,246236,Basic Materials
CDE,Coeur Mining Inc. Common Stock,19.895,20450766785.0,11404569,Basic Materials
IP,International Paper Company Common Stock,34.6,18323118367.0,2026147,Basic Materials
MP,MP Materials Corp. Common Stock,51.23,9124144353.0,1965942,Basic Materials
AUGO,Aura Minerals Inc. Common Shares,85.61,7173195381.0,407628,Basic Materials
CLF,Cleveland-Cliffs Inc. Common Stock,11.835,6752341456.0,4061392,Basic Materials
USAR,USA Rare Earth Inc. Class A Common Stock,15.945,5980595861.0,5447016,Basic Materials
FBIN,Fortune Brands Innovations Inc. Common Stock,40.75,4864387688.0,501089,Basic Materials
LPX,Louisiana-Pacific Corporation Common Stock,66.95,4681372300.0,178968,Basic Materials
TREX,Trex Company Inc. Common Stock,44.54,4537075563.0,241243,Basic Materials
UFPI,UFP Industries Inc. Common Stock,81.44,4492351827.0,88468,Basic Materials
MTX,Minerals Technologies Inc. Common Stock,67.905,2113798584.0,32210,Basic Materials
HYMC,Hycroft Mining Holding Corporation Class A Common Stock,20.45,1905565376.0,732110,Basic Materials
SLVM,Sylvamo Corporation Common Stock,35.255,1401747367.0,52601,Basic Materials
KRO,Kronos Worldwide Inc Common Stock,8.08,929987929.0,138624,Basic Materials
KOP,Koppers Holdings Inc. Common Stock,45.68,863880426.0,18621,Basic Materials
LXU,LSB Industries Inc. Common Stock,11.27,811411870.0,171376,Basic Materials
DC,Dakota Gold Corp. Common Stock,5.735,769482103.0,717942,Basic Materials
TROX,Tronox Holdings plc Ordinary Shares (UK),4.37,697889127.0,415124,Basic Materials
MATV,Mativ Holdings Inc. Common Stock,11.99,661729275.0,96129,Basic Materials
IPX,IperionX Limited American Depositary Share,18.38,623787921.0,189342,Basic Materials
CTGO,Contango Silver & Gold Inc. Common Stock,18.45,616980749.0,183601,Basic Materials
ALOY,REalloys Inc. Common Stock,8.535,592490576.0,1011067,Basic Materials
RYAM,Rayonier Advanced Materials Inc. Common Stock,8.43,570240673.0,154203,Basic Materials
NB,NioCorp Developments Ltd. Common Stock,3.725,542311754.0,901249,Basic Materials
VHI,Valhi Inc. Common Stock,18.02,510347898.0,5167,Basic Materials
IDR,Idaho Strategic Resources Inc. Common Stock,29.28,463390258.0,83242,Basic Materials
MAGN,Magnera Corporation Common Stock,11.57,414206000.0,55408,Basic Materials
NL,NLI Holdings Inc. Common Stock,7.0,342291138.0,5681,Basic Materials
CLW,Clearwater Paper Corporation Common Stock,20.6266,332660937.0,17717,Basic Materials
VGZ,Vista Gold Corp Common Stock,2.145,313108537.0,861625,Basic Materials
LTBR,Lightbridge Corporation Common Stock,6.755,253029405.0,432625,Basic Materials
USAU,U.S. Gold Corp. Common Stock,14.8902,246077872.0,87105,Basic Materials
NIOBW,NioCorp Developments Ltd. Warrant,1.28,186351421.0,193,Basic Materials
NUCL,Eagle Nuclear Energy Corp. Common stock,6.16,182211556.0,131681,Basic Materials
JELD,JELD-WEN Holding Inc. Common Stock,2.015,174828215.0,356459,Basic Materials
EU,enCore Energy Corp. Common Shares,0.885,171938659.0,26980644,Basic Materials
USGO,U.S. GoldMining Inc. Common stock,8.07,113268390.0,41346,Basic Materials
PZG,Paramount Gold Nevada Corp. Common Stock,1.305,111948617.0,131890,Basic Materials
WWR,Westwater Resources Inc. Common Stock,0.5606,72073445.0,310986,Basic Materials
XPL,Solitario Resources Corp. Common Stock,0.6024,57037921.0,25492,Basic Materials
NUCLW,Eagle Nuclear Energy Corp. Warrants,0.6622,19587742.0,13038,Basic Materials
