symbol,name,price,marketCap,volume,industry
KO,Coca-Cola Company (The) Common Stock,88.76,381894270809.0,2478488,Consumer Staples
PEP,PepsiCo Inc. Common Stock,130.95,178732549520.0,1517688,Consumer Staples
MNST,Monster Beverage Corporation,44.01,129326931546.0,883776,Consumer Staples
CVS,CVS Health Corporation Common Stock,86.455,110573383252.0,1508269,Consumer Staples
MDLZ,Mondelez International Inc. Class A Common Stock,61.36,78314262378.0,1131864,Consumer Staples
CTVA,Corteva Inc. Common Stock ,81.85,54609992600.0,580128,Consumer Staples
KDP,Keurig Dr Pepper Inc. Common Stock,31.725,43172206056.0,1706159,Consumer Staples
ADM,Archer-Daniels-Midland Company Common Stock,82.86,39935171047.0,273208,Consumer Staples
KR,Kroger Company (The) Common Stock,58.57,34590780159.0,876531,Consumer Staples
HSY,The Hershey Company Common Stock,168.7,33896158336.0,125737,Consumer Staples
KHC,The Kraft Heinz Company Common Stock,23.7101,28115999885.0,2070771,Consumer Staples
BG,Bunge Limited Common Shares,112.415,21597071212.0,212026,Consumer Staples
STZ,Constellation Brands Inc. Common Stock,116.88,19960583366.0,254085,Consumer Staples
GIS,General Mills Inc. Common Stock,34.8599,18637129931.0,4677576,Consumer Staples
TSN,Tyson Foods Inc. Common Stock,51.69,18184620155.0,428281,Consumer Staples
MKC,McCormick & Company Incorporated Common Stock,48.98,13168349017.0,262920,Consumer Staples
SJM,The J.M. Smucker Company Common Stock,122.355,13070350556.0,146650,Consumer Staples
COKE,Coca-Cola Consolidated Inc. Common Stock,190.76,12697804723.0,87662,Consumer Staples
HRL,Hormel Foods Corporation Common Stock,20.075,11048292310.0,751625,Consumer Staples
DAR,Darling Ingredients Inc. Common Stock,62.65,9886352687.0,361287,Consumer Staples
SFD,Smithfield Foods Inc. Common Stock,19.17,7548521652.0,268094,Consumer Staples
CELH,Celsius Holdings Inc. Common Stock,28.955,7326629786.0,888945,Consumer Staples
PRMB,Primo Brands Corporation Class A Common Stock,19.79,7170986551.0,726233,Consumer Staples
CAG,ConAgra Brands Inc. Common Stock,14.66,7037791324.0,1355930,Consumer Staples
PPC,Pilgrim's Pride Corporation Common Stock,28.46,6776568593.0,177986,Consumer Staples
SFM,Sprouts Farmers Market Inc. Common Stock,67.39,6283957449.0,356251,Consumer Staples
LW,Lamb Weston Holdings Inc. Common Stock ,45.53,6259510431.0,86744,Consumer Staples
INGR,Ingredion Incorporated Common Stock,97.56,6152521791.0,38391,Consumer Staples
CPB,The Campbell's Company Common Stock,20.205,6025257140.0,882957,Consumer Staples
