symbol,name,price,marketCap,volume,industry
XOM,ExxonMobil Holdings Corporation Common Stock,153.04,634342713672.0,16299918,Energy
CVX,Chevron Corporation Common Stock,187.58,373583902569.0,7406795,Energy
COP,ConocoPhillips Common Stock,114.1,139007346199.0,7644000,Energy
MPC,Marathon Petroleum Corporation Common Stock,306.05,89347207142.0,1827598,Energy
VLO,Valero Energy Corporation Common Stock,298.88,88747269884.0,2515704,Energy
PSX,Phillips 66 Common Stock,205.85,82532473867.0,2093101,Energy
EOG,EOG Resources Inc. Common Stock,139.64,74376247929.0,3293369,Energy
MPLX,MPLX LP Common Units Representing Limited Partner Interests,59.2,60072236165.0,1997399,Energy
OXY,Occidental Petroleum Corporation Common Stock,53.93,53640649425.0,7922915,Energy
FANG,Diamondback Energy Inc. Common Stock,190.305,53535326986.0,2516797,Energy
DVN,Devon Energy Corporation Common Stock,42.66,49204176545.0,12510949,Energy
BE,Bloom Energy Corporation Class A Common Stock,166.84,47456614937.0,29397147,Energy
EQT,EQT Corporation Common Stock,51.66,32314156560.0,8311937,Energy
TPL,Texas Pacific Land Corporation Common Stock,389.42,26860022141.0,331898,Energy
HAL,Halliburton Company Common Stock,31.23,26018661361.0,13398830,Energy
WWD,Woodward Inc. Common Stock,410.55,24461743584.0,613064,Energy
EXE,Expand Energy Corporation Common Stock,88.52,21176537713.0,5100668,Energy
PAA,Plains All American Pipeline L.P. Common Units representing Limited Partner Interests,24.43,17236139016.0,1916587,Energy
PR,Permian Resources Corporation Class A Common Stock,19.73,16519694687.0,8577289,Energy
DINO,HF Sinclair Corporation Common Stock,89.3,16098596524.0,4187883,Energy
SUN,Sunoco LP Common Units representing limited partner interests,76.5,15668938998.0,466588,Energy
VNOM,Viper Energy Inc. Class A Common Stock,42.04,14980285396.0,1808115,Energy
APA,APA Corporation Common Stock,34.93,12346715029.0,5967028,Energy
AR,Antero Resources Corporation Common Stock,33.88,10497243680.0,6429355,Energy
LFUS,Littelfuse Inc. Common Stock,392.05,9914514813.0,1101402,Energy
FPS,Forgent Power Solutions Inc. Class A Common Stock,32.41,9866540292.0,10453617,Energy
RRC,Range Resources Corporation Common Stock,38.26,8940578244.0,4560891,Energy
POWL,Powell Industries Inc. Common Stock,201.0,7322761449.0,1138819,Energy
CHRD,Chord Energy Corporation Common Stock,128.8,7251334770.0,675664,Energy
PBF,PBF Energy Inc. Class A Common Stock,61.0,7216816670.0,2828863,Energy
SM,SM Energy Company Common Stock,29.65,7108548985.0,2742467,Energy
