symbol,name,price,marketCap,volume,industry
JPM,JP Morgan Chase & Co. Common Stock,358.4575,952846777994.0,1003373,Finance
BAC,Bank of America Corporation Common Stock,62.625,437920866358.0,5310417,Finance
MS,Morgan Stanley Common Stock,215.01,337687458443.0,551259,Finance
GS,Goldman Sachs Group Inc. (The) Common Stock,1023.965,298149330793.0,330858,Finance
WFC,Wells Fargo & Company Common Stock,89.52,270708420559.0,1636198,Finance
C,Citigroup Inc. Common Stock,135.685,227603009901.0,1425335,Finance
AXP,American Express Company Common Stock,329.5,222514589974.0,280902,Finance
SCHW,Charles Schwab Corporation (The) Common Stock,109.75,189794594612.0,678507,Finance
BLK,BlackRock Inc. Common Stock,1119.59,173390073684.0,52556,Finance
COF,Capital One Financial Corporation Common Stock,217.385,133362401074.0,351892,Finance
SPGI,S&P Global Inc. Common Stock,446.47,131619356000.0,270829,Finance
PGR,Progressive Corporation (The) Common Stock,224.755,130666212166.0,234789,Finance
BNY,The Bank of New York Mellon Corporation Common Stock,162.9664,110573377407.0,324584,Finance
HOOD,Robinhood Markets Inc. Class A Common Stock,120.8,108609138578.0,17649922,Finance
BX,Blackstone Inc. Common Stock,137.175,102967000013.0,407644,Finance
CME,CME Group Inc. Class A Common Stock,280.165,100741524218.0,154467,Finance
USB,U.S. Bancorp Common Stock,63.17,98422109844.0,669605,Finance
PNC,PNC Financial Services Group Inc. (The) Common Stock,243.85,97282413198.0,84800,Finance
KKR,KKR & Co. Inc. Common Stock,107.67,96648425160.0,607480,Finance
ICE,Intercontinental Exchange Inc. Common Stock,161.94,90912223225.0,329550,Finance
MRSH,Marsh Common Stock,189.23,90302688244.0,202908,Finance
MCO,Moody's Corporation Common Stock,500.765,86732498000.0,85704,Finance
APO,Apollo Global Management Inc. (New) Common Stock,132.0075,77956126062.0,293491,Finance
TRV,The Travelers Companies Inc. Common Stock,371.61,77508563925.0,151689,Finance
AON,Aon plc Class A Ordinary Shares (Ireland),328.17,69613203676.0,199251,Finance
AJG,Arthur J. Gallagher & Co. Common Stock,267.2,68483360000.0,119521,Finance
ALL,Allstate Corporation (The) Common Stock,263.395,66601519740.0,143687,Finance
MET,MetLife Inc. Common Stock,98.51,62600832079.0,551382,Finance
TFC,Truist Financial Corporation Common Stock,51.035,62345692505.0,740824,Finance
AFL,AFLAC Incorporated Common Stock,118.63,59474355442.0,159711,Finance
NDAQ,Nasdaq Inc. Common Stock,97.5499,54528186741.0,168633,Finance
STT,State Street Corporation Common Stock,191.47,52597146945.0,143536,Finance
HBANL,Huntington Bancshares Incorporated Depositary Shares Each Representing a 1/40th Interest in a Share of 6.875% Series J Non-Cumulative Perpetual Preferred Stock,25.0744,50660689513.0,5219,Finance
AMP,Ameriprise Financial Inc. Common Stock,562.145,50535196285.0,31542,Finance
FITB,Fifth Third Bancorp Common Stock,54.8,49697712507.0,253776,Finance
COIN,Coinbase Global Inc. Class A Common Stock,187.64,49506360232.0,3617233,Finance
ARES,Ares Management Corporation Class A Common Stock,139.48,46067067901.0,251397,Finance
CBRE,CBRE Group Inc Common Stock Class A,146.91,42541507029.0,200747,Finance
PRU,Prudential Financial Inc. Common Stock,122.885,42395325000.0,180310,Finance
HBANM,Huntington Bancshares Incorporated Depositary Shares each representing a 1/1000th interest in a share of Huntington Series I Preferred Stock,20.63,41681157860.0,354,Finance
IBKR,Interactive Brokers Group Inc. Class A Common Stock,91.79,41588045316.0,584622,Finance
AIG,American International Group Inc. New Common Stock,76.79,40152966448.0,292343,Finance
RKT,Rocket Companies Inc. Class A Common Stock,13.955,39515569985.0,3768030,Finance
HBANZ,Huntington Bancshares Incorporated Depositary Shares Each Representing a 1/1000th Interest in a Share of 5.50% Series L Non-Cumulative Perpetual Preferred Stock,19.1,38589923177.0,4003,Finance
HIG,The Hartford Insurance Group Inc. Common Stock,138.915,37628184158.0,84353,Finance
RJF,Raymond James Financial Inc. Common Stock,179.17,34465447760.0,99212,Finance
MTB,M&T Bank Corporation Common Stock,237.38,34281532274.0,81989,Finance
HBAN,Huntington Bancshares Incorporated Common Stock,16.94,34225827152.0,1587220,Finance
NTRS,Northern Trust Corporation Common Stock,185.335,33908085949.0,61417,Finance
HBANP,Huntington Bancshares Incorporated Depositary Shares 4.500% Series H Non-Cumulative Perpetual Preferred Stock,16.2881,32908718727.0,11328,Finance
CFG,Citizens Financial Group Inc. Common Stock,70.45,29671904715.0,264149,Finance
SYF,Synchrony Financial Common Stock,79.08,29422310896.0,257540,Finance
LPLA,LPL Financial Holdings Inc. Common Stock,362.51,28544867548.0,94659,Finance
CINF,Cincinnati Financial Corporation Common Stock,174.4,26766571048.0,21857,Finance
RF,Regions Financial Corporation Common Stock,30.21,25736790376.0,523362,Finance
PFG,Principal Financial Group Inc Common Stock,120.155,25725743139.0,1009292,Finance
WRB,W.R. Berkley Corporation Common Stock,69.06,25636973153.0,108243,Finance
CRCL,Circle Internet Group Inc. Class A Common Stock,98.89,25105785872.0,7630922,Finance
AFRM,Affirm Holdings Inc. Class A Common Stock,73.755,24886504736.0,756499,Finance
TW,Tradeweb Markets Inc. Class A Common Stock,106.08,24825718033.0,108712,Finance
FCNCA,First Citizens BancShares Inc. Class A Common Stock,2196.255,24802571266.0,5995,Finance
BRO,Brown & Brown Inc. Common Stock,72.98,24419863854.0,86155,Finance
SOFI,SoFi Technologies Inc. Common Stock  ,18.165,23461374935.0,12905431,Finance
TROW,T. Rowe Price Group Inc. Common Stock,109.6675,23393815980.0,140775,Finance
KEY,KeyCorp Common Stock,21.91,23380786618.0,857941,Finance
MKL,Markel Group Inc. Common Stock,1840.235,22800434360.0,8926,Finance
L,Loews Corporation Common Stock,109.76,22437986547.0,18794,Finance
EFX,Equifax Inc. Common Stock,190.405,22369711623.0,57244,Finance
TPG,TPG Inc. Class A Common Stock,52.58,19870968716.0,143524,Finance
OWL,Blue Owl Capital Inc. Class A Common Stock,11.68,18210197165.0,1767087,Finance
EWBC,East West Bancorp Inc. Common Stock,129.625,17760161834.0,71265,Finance
INVH,Invitation Homes Inc. Common Stock,28.75,16980417748.0,203590,Finance
CG,The Carlyle Group Inc. Common Stock,47.44,16904427937.0,507334,Finance
BEN,Franklin Templeton Inc. Common Stock,33.25,16893557258.0,665811,Finance
RGA,Reinsurance Group of America Incorporated Common Stock,257.45,16811913654.0,37225,Finance
JLL,Jones Lang LaSalle Incorporated Common Stock,361.355,16625113518.0,24171,Finance
TRU,TransUnion Common Stock,84.68,16224688000.0,118854,Finance
CRBG,Corebridge Financial Inc. Common Stock,34.29,15285539779.0,400342,Finance
PNFP,Pinnacle Financial Partners Inc. Common stock,100.98,15259354387.0,83027,Finance
