symbol,name,price,marketCap,volume,industry
LLY,Eli Lilly and Company Common Stock,1134.42,1067894281677.0,301993,Health Care
JNJ,Johnson & Johnson Common Stock,269.385,649190533553.0,613783,Health Care
ABBV,AbbVie Inc. Common Stock,249.3,440542339151.0,323019,Health Care
MRK,Merck & Company Inc. Common Stock (new),148.55,366498346825.0,989850,Health Care
UNH,UnitedHealth Group Incorporated Common Stock (DE),380.35,341400200056.0,2308237,Health Care
PM,Philip Morris International Inc Common Stock,183.73,286364047147.0,393165,Health Care
AMGN,Amgen Inc. Common Stock,394.28,213160386931.0,383398,Health Care
ABT,Abbott Laboratories Common Stock,106.435,184173346110.0,634717,Health Care
GILD,Gilead Sciences Inc. Common Stock,146.17,181244245006.0,412450,Health Care
PFE,Pfizer Inc. Common Stock,27.795,158422427406.0,3877387,Health Care
VRTX,Vertex Pharmaceuticals Incorporated Common Stock,523.8,132762831991.0,118835,Health Care
BMY,Bristol-Myers Squibb Company Common Stock,64.695,132153424670.0,627719,Health Care
ISRG,Intuitive Surgical Inc. Common Stock,355.26,125505555780.0,477229,Health Care
MDT,Medtronic plc. Ordinary Shares,93.27,119305191000.0,559258,Health Care
MO,Altria Group Inc.,67.61,112891386837.0,1132272,Health Care
SYK,Stryker Corporation Common Stock,276.6449,106113526953.0,736015,Health Care
MCK,McKesson Corporation Common Stock,885.6,103252425473.0,190343,Health Care
HCA,HCA Healthcare Inc. Common Stock,400.51,86711015765.0,200351,Health Care
MMM,3M Company Common Stock,166.11,85666650688.0,401984,Health Care
ELV,Elevance Health Inc. Common Stock,391.705,84948785239.0,131760,Health Care
REGN,Regeneron Pharmaceuticals Inc. Common Stock,802.725,82644542742.0,69529,Health Care
CI,The Cigna Group Common Stock,274.445,72519480180.0,227362,Health Care
BSX,Boston Scientific Corporation Common Stock,46.145,66874696477.0,2380674,Health Care
COR,Cencora Inc. Common Stock,324.64,61950130846.0,105725,Health Care
CAH,Cardinal Health Inc. Common Stock,239.225,55637928531.0,106012,Health Care
MRNA,Moderna Inc. Common Stock,138.855,55435899367.0,2246977,Health Care
EW,Edwards Lifesciences Corporation Common Stock,86.845,50057458000.0,226905,Health Care
BDX,Becton Dickinson and Company Common Stock,180.925,49281581790.0,246263,Health Care
NTRA,Natera Inc. Common Stock,325.4,46904512918.0,105144,Health Care
HUM,Humana Inc. Common Stock,387.025,46474081204.0,240799,Health Care
MDLN,Medline Inc. Class A Common Stock,34.7,45620349972.0,730844,Health Care
