symbol,name,price,marketCap,volume,industry
TSLA,Tesla Inc. Common Stock,309.22,1221279045173.0,44920574,Industrials
CAT,Caterpillar Inc. Common Stock,873.28,402265102065.0,3150855,Industrials
RTX,RTX Corporation Common Stock,218.42,294377333812.0,8193758,Industrials
TMO,Thermo Fisher Scientific Inc Common Stock,559.53,207933358311.0,1962049,Industrials
UNP,Union Pacific Corporation Common Stock,299.3,177806796551.0,3061694,Industrials
DE,Deere & Company Common Stock,625.02,168716289374.0,876608,Industrials
BA,Boeing Company (The) Common Stock,211.5,166725943007.0,6657290,Industrials
DHR,Danaher Corporation Common Stock,196.5,138136759611.0,5340634,Industrials
LMT,Lockheed Martin Corporation Common Stock,580.0,133858636740.0,1083092,Industrials
PH,Parker-Hannifin Corporation Common Stock,987.31,124486352724.0,541139,Industrials
GLW,Corning Incorporated Common Stock,143.36,123381038592.0,14036494,Industrials
HWM,Howmet Aerospace Inc. Common Stock,287.94,115206948655.0,2637020,Industrials
GD,General Dynamics Corporation Common Stock,389.14,105235202969.0,1194890,Industrials
ADP,Automatic Data Processing Inc. Common Stock,254.98,102666259933.0,1724234,Industrials
UPS,United Parcel Service Inc. Common Stock,112.95,96008209213.0,6723748,Industrials
CSX,CSX Corporation Common Stock,51.8,95958200701.0,17856126,Industrials
PWR,Quanta Services Inc. Common Stock,620.28,93079309222.0,973838,Industrials
CMI,Cummins Inc. Common Stock,661.84,91326684103.0,1004318,Industrials
CTAS,Cintas Corporation Common Stock,210.98,84420879153.0,2261094,Industrials
ITW,Illinois Tool Works Inc. Common Stock,284.82,81942714000.0,2119031,Industrials
HON,Honeywell International Inc. Common Stock,245.75,77888007458.0,4053907,Industrials
NOC,Northrop Grumman Corporation Common Stock,547.58,77790871777.0,680278,Industrials
NSC,Norfolk Southern Corporation Common Stock,343.35,77119284870.0,1842591,Industrials
GM,General Motors Company Common Stock,87.04,76373382129.0,9871699,Industrials
TDG,Transdigm Group Incorporated Common Stock,1286.27,71945689805.0,343832,Industrials
BRKRP,Bruker Corporation 6.375% Mandatory Convertible Preferred Stock Series A,445.24,69005799230.0,16302,Industrials
HONA,Honeywell Aerospace Inc. Common Stock ,210.83,66820407493.0,1857363,Industrials
GWW,W.W. Grainger Inc. Common Stock,1398.95,66048792825.0,150550,Industrials
FIX,Comfort Systems USA Inc. Common Stock,1730.42,60900970788.0,634644,Industrials
F,Ford Motor Company Common Stock,14.68,58495287808.0,58748474,Industrials
CARR,Carrier Global Corporation Common Stock ,69.33,57949056339.0,7062802,Industrials
LHX,L3Harris Technologies Inc. Common Stock,303.48,56536791729.0,1196824,Industrials
NUE,Nucor Corporation Common Stock,247.86,56447871867.0,1686723,Industrials
AME,AMETEK Inc.,243.12,55723833846.0,1017162,Industrials
KEYS,Keysight Technologies Inc. Common Stock,313.68,53606459034.0,1129452,Industrials
TER,Teradyne Inc. Common Stock,334.77,52405619573.0,4149288,Industrials
ROK,Rockwell Automation Inc. Common Stock,466.0,51853662098.0,627574,Industrials
WAB,Westinghouse Air Brake Technologies Corporation Common Stock,300.9,50825275066.0,1095878,Industrials
HEI,Heico Corporation Common Stock,357.15,49907322412.0,385325,Industrials
PYPL,PayPal Holdings Inc. Common Stock,56.07,49459654993.0,14864415,Industrials
ODFL,Old Dominion Freight Line Inc. Common Stock,226.77,47160967536.0,1590978,Industrials
AXON,Axon Enterprise Inc. Common Stock,525.48,42354779422.0,788230,Industrials
PAYX,Paychex Inc. Common Stock,115.48,41074256673.0,3452100,Industrials
A,Agilent Technologies Inc. Common Stock,137.89,38944540758.0,1830517,Industrials
RKLB,Rocket Lab Corporation Common Stock,66.94,38749388777.0,15752172,Industrials
VMC,Vulcan Materials Company (Holding Company) Common Stock,284.49,36913967234.0,916164,Industrials
WAT,Waters Corporation Common Stock,371.2,36446589376.0,803770,Industrials
STLD,Steel Dynamics Inc.,250.27,36092132701.0,1413099,Industrials
MLM,Martin Marietta Materials Inc. Common Stock,572.03,34468358662.0,536710,Industrials
IR,Ingersoll Rand Inc. Common Stock,84.66,33130576366.0,2537478,Industrials
EME,EMCOR Group Inc. Common Stock,742.75,33008016485.0,437595,Industrials
TDY,Teledyne Technologies Incorporated Common Stock,651.65,30190382778.0,327781,Industrials
CRS,Carpenter Technology Corporation Common Stock,580.25,28830076363.0,776841,Industrials
XYL,Xylem Inc. Common Stock New,120.16,28561250119.0,2208316,Industrials
DOV,Dover Corporation Common Stock,205.85,27723924316.0,1354868,Industrials
VRSK,Verisk Analytics Inc. Common Stock,206.66,27076973454.0,1849011,Industrials
MTZ,MasTec Inc. Common Stock,336.79,26612659475.0,1282770,Industrials
JBHT,J.B. Hunt Transport Services Inc. Common Stock,280.96,26494304075.0,1239019,Industrials
ATI,ATI Inc. Common Stock,192.64,26289663057.0,1349671,Industrials
SYM,Symbotic Inc. Class A Common Stock,41.49,25006305754.0,1386596,Industrials
FWONK,Liberty Media Corporation Series C Liberty Formula One Common Stock,98.33,24642059268.0,1336506,Industrials
FOXA,Fox Corporation Class A Common Stock,56.64,23799352882.0,4003090,Industrials
VLTO,Veralto Corp Common Stock ,94.28,23155098798.0,1853711,Industrials
FWONA,Liberty Media Corporation Series A Liberty Formula One Common Stock,90.25,22617165147.0,183482,Industrials
RL,Ralph Lauren Corporation Common Stock,379.94,22612640499.0,536294,Industrials
EXPD,Expeditors International of Washington Inc. Common Stock,171.34,22409752728.0,922981,Industrials
RIVN,Rivian Automotive Inc. Class A Common Stock,16.48,22193085245.0,35152699,Industrials
FTAI,FTAI Aviation Ltd. Common Stock,214.15,21968143454.0,1234236,Industrials
FOX,Fox Corporation Class B Common Stock,50.81,21349666665.0,1281939,Industrials
MKSI,MKS Inc. Common Stock,315.7,21323681525.0,1391386,Industrials
DOW,Dow Inc. Common Stock ,28.75,20721316343.0,13173929,Industrials
RS,Reliance Inc. Common Stock,404.35,20641469871.0,351824,Industrials
CHRW,C.H. Robinson Worldwide Inc. Common Stock,174.46,20564130907.0,3139595,Industrials
IFF,International Flavors & Fragrances Inc. Common Stock,76.4,19505185337.0,1740106,Industrials
STRL,Sterling Infrastructure Inc. Common Stock,634.63,19474226987.0,526537,Industrials
ENTG,Entegris Inc. Common Stock,126.37,19271425000.0,2351045,Industrials
DD,DuPont de Nemours Inc. Common Stock,139.96,19121681321.0,1079390,Industrials
LII,Lennox International Inc. Common Stock,547.35,19047762485.0,470329,Industrials
FTV,Fortive Corporation Common Stock ,62.92,19026951372.0,2472504,Industrials
RBC,RBC Bearings Incorporated Common Stock,584.97,18505735954.0,222066,Industrials
CF,CF Industries Holdings Inc. Common Stock,119.78,18401714440.0,2509683,Industrials
ARXS,Arxis Inc. Class A Common Stock,43.58,17882387664.0,514466,Industrials
ITT,ITT Inc. Common Stock ,197.8,17683320000.0,639329,Industrials
BALL,Ball Corporation Common Stock,64.67,17218161866.0,2196248,Industrials
RGLD,Royal Gold Inc. Common Stock,201.02,17059884334.0,605002,Industrials
TXT,Textron Inc. Common Stock,96.13,16715947744.0,2765869,Industrials
NDSN,Nordson Corporation Common Stock,297.39,16569960556.0,239484,Industrials
IEX,IDEX Corporation Common Stock,223.83,16566789089.0,725780,Industrials
MAS,Masco Corporation Common Stock,81.16,16372766907.0,3129724,Industrials
BWXT,BWX Technologies Inc. Common Stock,176.53,16172733988.0,748928,Industrials
J,Jacobs Solutions Inc. Common Stock,135.23,15968077267.0,872723,Industrials
CLH,Clean Harbors Inc. Common Stock,301.75,15946290156.0,512006,Industrials
NXT,Nextpower Inc. Class A Common Stock,103.73,15730993178.0,2578926,Industrials
MLI,Mueller Industries Inc. Common Stock,64.17,14193209668.0,1286616,Industrials
LECO,Lincoln Electric Holdings Inc. Common Shares,256.85,14072069204.0,322208,Industrials
