symbol,name,price,marketCap,volume,industry
IDCC,InterDigital Inc. Common Stock,342.42,8836492917.0,163778,Miscellaneous
ENS,EnerSys Common Stock,189.76,6843736906.0,468969,Miscellaneous
DLB,Dolby Laboratories Common Stock,65.27,6113762250.0,893704,Miscellaneous
NOVT,Novanta Inc. Common Stock,145.24,5492652915.0,332575,Miscellaneous
QS,QuantumScape Corporation Class A Common Stock,5.98,3702298772.0,25830082,Miscellaneous
NATL,NCR Atleos Corporation Common Stock,46.41,3429556707.0,303226,Miscellaneous
ATKR,Atkore Inc. Common Stock,93.6,3161110680.0,460032,Miscellaneous
EMAT,Evolution Metals & Technologies Corp. Common Stock,3.97,2468548565.0,2570749,Miscellaneous
DBD,Diebold Nixdorf Incorporated Common stock,69.94,2374224365.0,221142,Miscellaneous
NOVTU,Novanta Inc. Tangible Equity Units,62.26,2354534360.0,1734,Miscellaneous
PBI,Pitney Bowes Inc. Common Stock,16.48,2259246694.0,1890647,Miscellaneous
RUN,Sunrun Inc. Common Stock,9.16,2206158355.0,8171547,Miscellaneous
FLNC,Fluence Energy Inc. Class A Common Stock,11.34,2093322824.0,5061225,Miscellaneous
SPB,Spectrum Brands Holdings Inc. Common Stock,86.91,1998547248.0,305451,Miscellaneous
AMPX,Amprius Technologies Inc. Common Stock,10.34,1510473590.0,3514653,Miscellaneous
ENR,Energizer Holdings Inc. Common Stock,21.47,1470343686.0,961012,Miscellaneous
EOSE,Eos Energy Enterprises Inc. Class A Common Stock,3.81,1387479105.0,28523827,Miscellaneous
APPS,Digital Turbine Inc. Common Stock,10.87,1315446638.0,1854334,Miscellaneous
EOSEW,Eos Energy Enterprises Inc. Warrant,3.2,1165336781.0,4971,Miscellaneous
VYX,NCR Voyix Corporation Common Stock,7.91,1092132893.0,2053932,Miscellaneous
PAR,PAR Technology Corporation Common Stock,19.53,807813687.0,962870,Miscellaneous
ENVX,Enovix Corporation Common Stock,3.38,741736048.0,7066230,Miscellaneous
NRGV,Energy Vault Holdings Inc. Common Stock,3.8,690990366.0,2476606,Miscellaneous
SLDP,Solid Power Inc. Class A Common Stock,2.37,540789472.0,3037389,Miscellaneous
FAC,Factorial Energy Inc. Class A Common Stock,4.61,493377159.0,316959,Miscellaneous
ACTG,Acacia Research Corporation (Acacia Tech) Common Stock,4.51,440116491.0,216537,Miscellaneous
MVST,Microvast Holdings Inc. Common Stock,0.8047,309434901.0,4670555,Miscellaneous
SES,SES AI Corporation Class A Common Stock,0.5403,200606582.0,8394790,Miscellaneous
NEOV,NeoVolta Inc. Common Stock,3.34,196603245.0,1035833,Miscellaneous
CHPT,ChargePoint Holdings Inc. Common Stock,6.25,161860194.0,383830,Miscellaneous
JYNT,The Joint Corp. Common Stock,8.44,119368220.0,46600,Miscellaneous
ULBI,Ultralife Corporation Common Stock,7.01,116809516.0,32792,Miscellaneous
BLNK,Blink Charging Co. Common Stock,0.5949,86224042.0,1093041,Miscellaneous
BYRN,Byrna Technologies Inc. Common Stock,3.69,84122244.0,231106,Miscellaneous
NEOVW,NeoVolta Inc. Warrant,1.27,74756324.0,3,Miscellaneous
STI,Solidion Technology Inc. Common Stock,7.64,65037570.0,67554,Miscellaneous
LASE,Laser Photonics Corporation Common Stock,1.27,63725699.0,873296,Miscellaneous
VHC,VirnetX Holding Corp Common Stock,12.6,53129576.0,12900,Miscellaneous
FACWW,Factorial Energy Inc. Warrant,0.48,51371158.0,5571,Miscellaneous
RMCO,Royalty Management Holding Corporation Class A Common Stock,2.83,42938764.0,9277,Miscellaneous
NTIP,Network-1 Technologies Inc. Common Stock,1.57,35895194.0,29615,Miscellaneous
BEEM,Beam Global Common Stock,1.57,35534305.0,5518986,Miscellaneous
PPSI,Pioneer Power Solutions Inc. Common Stock,2.94,32631842.0,88104,Miscellaneous
ZEO,Zeo Energy Corporation Class A Common Stock,0.405,23807313.0,604395,Miscellaneous
AMOD,Alpha Modus Holdings Inc. Class A Common Stock,4.63,22996367.0,11419,Miscellaneous
DFLI,Dragonfly Energy Holdings Corp. Common Stock (NV),1.2,17974564.0,149281,Miscellaneous
REFR,Research Frontiers Incorporated Common Stock,0.4451,15519652.0,66639,Miscellaneous
GWH,ESS Tech Inc. Common Stock,0.4047,13342969.0,2964384,Miscellaneous
FLUX,Flux Power Holdings Inc. Common Stock,0.5989,12793332.0,1648164,Miscellaneous
SLDPW,Solid Power Inc. Warrant,0.038,8670886.0,5133,Miscellaneous
POLA,Polar Power Inc. Common Stock,1.5,5777526.0,250827,Miscellaneous
XELB,Xcel Brands Inc. Common Stock,0.869,5700878.0,84905,Miscellaneous
XPON,Expion360 Inc. Common Stock,3.435,3305621.0,44365,Miscellaneous
RMCOW,Royalty Management Holding Corporation Warrant,0.1687,2559636.0,2030,Miscellaneous
ZEOWW,Zeo Energy Corporation Warrants,0.0187,1099251.0,3,Miscellaneous
DFLIW,Dragonfly Energy Holdings Corp. Warrant,0.0316,473330.0,21,Miscellaneous
AMODW,Alpha Modus Holdings Inc. Warrant,0.02,99336.0,82856,Miscellaneous
SIMA,SIM Acquisition Corp. I Class A Ordinary Shares,10.93,0.0,17295,Miscellaneous
