symbol,name,price,marketCap,volume,industry
WELL,Welltower Inc. Common Stock,233.1,168005648078.0,3786369,Real Estate
PLD,Prologis Inc. Common Stock,144.15,134502905400.0,2739054,Real Estate
EQIX,Equinix Inc. Common Stock REIT,1031.44,101773923808.0,574356,Real Estate
AMT,American Tower Corporation (REIT) Common Stock,173.0,80611088304.0,2505917,Real Estate
SPG,Simon Property Group Inc. Common Stock,229.16,74314276234.0,1308350,Real Estate
DLR,Digital Realty Trust Inc. Common Stock,191.22,72027794839.0,2408042,Real Estate
O,Realty Income Corporation Common Stock,63.48,59194625804.0,6055557,Real Estate
PSA,Public Storage Common Stock,325.9,57234927571.0,840848,Real Estate
VTR,Ventas Inc. Common Stock,90.85,46601176715.0,4408354,Real Estate
IRM,Iron Mountain Incorporated (Delaware)Common Stock REIT,124.08,36916862418.0,1890655,Real Estate
CCI,Crown Castle Inc. Common Stock,76.74,33493325175.0,3723342,Real Estate
EXR,Extra Space Storage Inc Common Stock,149.73,31632099947.0,1689058,Real Estate
AGNCN,AGNC Investment Corp. Depositary Shares Each Representing a 1/1000th Interest in a Share of 7.00% Series C Fixed-To-Floating Rate Cumulative Redeemable Preferred Stock,25.83,29651013096.0,22132,Real Estate
AGNCO,AGNC Investment Corp. Depositary Shares each representing a 1/1000th interest in a share of 6.50% Series E Fixed-to-Floating Cumulative Redeemable Preferred Stock,25.53,29306634314.0,18701,Real Estate
VICI,VICI Properties Inc. Common Stock,26.54,29222598495.0,19730075,Real Estate
AGNCZ,AGNC Investment Corp. Depositary Shares Each Representing a 1/1000th Interest in a Share of 8.75% Series H Fixed-Rate Cumulative Redeemable Preferred Stock,25.37,29122965631.0,16568,Real Estate
AGNCP,AGNC Investment Corp. Depositary Shares Each Representing a 1/1000th Interest in a Share of 6.125% Series F Fixed-to-Floating Rate Cumulative Redeemable Preferred Stock,25.17,28893379776.0,38689,Real Estate
AGNCM,AGNC Investment Corp. Depositary Shares rep 6.875% Series D Fixed-to-Floating Cumulative Redeemable Preferred Stock,25.14,28858941898.0,8710,Real Estate
AGNCL,AGNC Investment Corp. Depositary Shares Each Representing a 1/1000th Interest in a Share of 7.75% Series G Fixed-Rate Reset Cumulative Redeemable Preferred Stock,25.08,28790066142.0,29188,Real Estate
AVB,AvalonBay Communities Inc. Common Stock,188.78,26957399455.0,606277,Real Estate
EQR,Equity Residential Common Shares of Beneficial Interest,67.57,25334993716.0,2640350,Real Estate
SBAC,SBA Communications Corporation Class A Common Stock,179.54,19042554072.0,1818626,Real Estate
ESS,Essex Property Trust Inc. Common Stock,285.88,18373061341.0,546055,Real Estate
WY,Weyerhaeuser Company Common Stock,25.23,18191914890.0,6142848,Real Estate
HST,Host Hotels & Resorts Inc. Common Stock,25.09,17183621160.0,9785143,Real Estate
NLY,Annaly Capital Management Inc. Common Stock,22.78,17169614989.0,7775274,Real Estate
KIM,Kimco Realty Corporation (HC) Common Stock,25.41,17136244615.0,6129045,Real Estate
WPC,W. P. Carey Inc. REIT,72.91,16610128648.0,1552171,Real Estate
LAMR,Lamar Advertising Company Class A Common Stock,157.61,15993490669.0,1316552,Real Estate
MAA,Mid-America Apartment Communities Inc. Common Stock,133.47,15485450601.0,1061263,Real Estate
DOC,Healthpeak Properties Inc. Common Stock,21.64,14919042351.0,5964174,Real Estate
SUI,Sun Communities Inc. Common Stock,122.46,14915745194.0,1194351,Real Estate
OHI,Omega Healthcare Investors Inc. Common Stock,49.01,14850667130.0,1907293,Real Estate
REG,Regency Centers Corporation Common Stock,80.3,14702672237.0,1627529,Real Estate
GLPI,Gaming and Leisure Properties Inc. Common Stock,44.81,13036127127.0,2429120,Real Estate
ELS,Equity Lifestyle Properties Inc. Common Stock,65.67,12744223530.0,1981533,Real Estate
AMH,American Homes 4 Rent Common Shares of Beneficial Interest,34.51,12444153880.0,2959395,Real Estate
UDR,UDR Inc. Common Stock,38.69,12429712749.0,4591791,Real Estate
AGNC,AGNC Investment Corp. Common Stock,10.64,12213967454.0,23617167,Real Estate
BXP,BXP Inc. Common Stock,70.41,11228803100.0,1813636,Real Estate
CPT,Camden Property Trust Common Stock,110.72,11129544727.0,1213245,Real Estate
FRT,Federal Realty Investment Trust Common Stock,123.65,10682024209.0,829385,Real Estate
AHR,American Healthcare REIT Inc. Common Stock,55.12,10622853617.0,1620461,Real Estate
CTRE,CareTrust REIT Inc. Common Stock,41.22,9737822487.0,1777177,Real Estate
BRX,Brixmor Property Group Inc. Common Stock,31.53,9675684123.0,2339310,Real Estate
ADC,Agree Realty Corporation Common Stock,76.91,9566012732.0,1583223,Real Estate
LINE,Lineage Inc. Common Stock,41.88,9535002406.0,721071,Real Estate
CUBE,CubeSmart Common Shares,41.84,9473146279.0,2216405,Real Estate
ARE,Alexandria Real Estate Equities Inc. Common Stock,53.03,9241510524.0,2387828,Real Estate
NNN,NNN REIT Inc. Common Stock,47.49,9034885926.0,1562056,Real Estate
FR,First Industrial Realty Trust Inc. Common Stock,65.52,8686179422.0,834805,Real Estate
REXR,Rexford Industrial Realty Inc. Common Stock,37.69,8404422394.0,2378050,Real Estate
RHP,Ryman Hospitality Properties Inc. (REIT),131.71,8312122215.0,532728,Real Estate
VNO,Vornado Realty Trust Common Stock,39.93,7510743397.0,1457707,Real Estate
STAG,Stag Industrial Inc. Common Stock,38.57,7436617250.0,1875130,Real Estate
MAC,Macerich Company (The) Common Stock,25.87,7335681031.0,2069604,Real Estate
HR,Healthcare Realty Trust Incorporated Common Stock,20.54,7039463870.0,4796666,Real Estate
EPRT,Essential Properties Realty Trust Inc. Common Stock,31.15,6736904075.0,1303116,Real Estate
RYN,Rayonier Inc. REIT Common Stock,21.54,6478095183.0,2673271,Real Estate
STWD,STARWOOD PROPERTY TRUST INC. Starwood Property Trust Inc.,15.97,5920854663.0,5398366,Real Estate
RITM,Rithm Capital Corp. Common Stock,10.06,5616564366.0,7336955,Real Estate
OUT,OUTFRONT Media Inc. Common Stock,31.88,5612904699.0,1397495,Real Estate
KRG,Kite Realty Group Trust Common Stock,28.01,5611717593.0,3323592,Real Estate
PECO,Phillips Edison & Company Inc. Common Stock,42.2,5431140000.0,943460,Real Estate
SBRA,Sabra Health Care REIT Inc. Common Stock,20.61,5197637858.0,4353010,Real Estate
LAUR,Laureate Education Inc. Common Stock,37.63,5183508417.0,1295585,Real Estate
CUZ,Cousins Properties Incorporated Common Stock,31.4,5168504621.0,2952569,Real Estate
GHC,Graham Holdings Company Common Stock,1213.07,5137264109.0,19007,Real Estate
EPR,EPR Properties Common Stock,61.21,4689232116.0,1041898,Real Estate
SKT,Tanger Inc. Common Stock,40.75,4681190928.0,1400120,Real Estate
KRC,Kilroy Realty Corporation Common Stock,39.0,4536050532.0,932386,Real Estate
DHCNL,Diversified Healthcare Trust 6.25% Senior Notes Due 2046,18.22,4398569585.0,4873,Real Estate
CVSA,Covista Inc. Common Shares,127.49,4338597784.0,284807,Real Estate
CDP,COPT Defense Properties Common Shares of Beneficial Interest,37.54,4256168188.0,949593,Real Estate
REGCP,Regency Centers Corporation 6.25% Series A Cumulative Redeemable Preferred Stock,23.07,4224042945.0,3418,Real Estate
DHCNI,Diversified Healthcare Trust 5.625% Senior Notes due 2042,17.47,4217508817.0,9859,Real Estate
BNL,Broadstone Net Lease Inc. Common Stock,21.26,4079644563.0,1783704,Real Estate
COLD,Americold Realty Trust Inc. Common Stock,14.11,4025668394.0,3170574,Real Estate
REGCO,Regency Centers Corporation 5.875% Series B Cumulative Redeemable Preferred Stock,21.75,3982355183.0,2644,Real Estate
IRT,Independence Realty Trust Inc. Common Stock,16.76,3951102105.0,3061078,Real Estate
LOPE,Grand Canyon Education Inc. Common Stock,150.88,3932692783.0,408746,Real Estate
APLE,Apple Hospitality REIT Inc. Common Shares,16.56,3909278694.0,3000910,Real Estate
HHH,Howard Hughes Holdings Inc. Common Stock,65.17,3885734465.0,508256,Real Estate
SLG,SL Green Realty Corp Common Stock,54.18,3853524489.0,774192,Real Estate
FRMI,Fermi Inc. Common Stock,6.03,3844572661.0,23422448,Real Estate
NHI,National Health Investors Inc. Common Stock,75.94,3680893739.0,378598,Real Estate
HIW,Highwoods Properties Inc. Common Stock,33.32,3675402951.0,1343642,Real Estate
JOE,St. Joe Company (The) Common Stock,64.0,3643548864.0,238661,Real Estate
LXP,LXP Industrial Trust Common Stock (Maryland REIT),60.43,3562787464.0,744843,Real Estate
LRN,Stride Inc. Common Stock,80.1,3406239684.0,1319473,Real Estate
RWTN,Redwood Trust Inc. 9.125% Senior Notes Due 2029,24.95,3224125427.0,5379,Real Estate
RWTO,Redwood Trust Inc. 9.00% Senior Notes Due 2029,24.67,3187942857.0,11581,Real Estate
DX,Dynex Capital Inc. Common Stock,12.71,3154201515.0,5098966,Real Estate
AKR,Acadia Realty Trust Common Stock,22.35,3069386337.0,1199469,Real Estate
CXW,CoreCivic Inc. Common Stock,30.3,2996320338.0,708930,Real Estate
DBRG,DigitalBridge Group Inc.,15.83,2886954807.0,3334765,Real Estate
FCPT,Four Corners Property Trust Inc. Common Stock,25.3,2776837072.0,796914,Real Estate
MPT,Medical Properties Trust Inc. common stock,4.59,2745279000.0,5472078,Real Estate
DRH,Diamondrock Hospitality Company Common Stock,13.38,2737624012.0,6021479,Real Estate
ARR,ARMOUR Residential REIT Inc.,16.33,2728700509.0,3756774,Real Estate
IVT,InvenTrust Properties Corp. Common Stock,34.88,2718402692.0,848889,Real Estate
MFAO,MFA Financial Inc. 9.000% Senior Notes due 2029,25.09,2575957733.0,14765,Real Estate
MFAN,MFA Financial Inc. 8.875% Senior Notes due 2029,24.95,2561584115.0,16172,Real Estate
BXMT,Blackstone Mortgage Trust Inc. Common Stock,14.57,2455680121.0,2971475,Real Estate
UNIT,Uniti Group Inc. Common Stock,9.64,2339870301.0,3137740,Real Estate
ADAMI,Adamas Trust Inc. 9.125% Senior Notes Due 2029,25.14,2277167348.0,2642,Real Estate
UTI,Universal Technical Institute Inc Common Stock,41.32,2275136263.0,646821,Real Estate
ADAMM,Adamas Trust Inc. 7.875% Series E Fixed-to-Floating Rate Cumulative Redeemable Preferred Stock,25.1,2255513811.0,11323,Real Estate
PMTU,PennyMac Mortgage Investment Trust 8.50% Senior Notes due 2028,25.6899,2240219960.0,2259,Real Estate
ADAML,Adamas Trust Inc. 6.875% Series F Fixed-to-Floating Rate Cumulative Redeemable Preferred Stock $0.01 par value per share,24.5999,2210574271.0,14816,Real Estate
PEB,Pebblebrook Hotel Trust Common Shares of Beneficial Interest,19.39,2188020263.0,2069068,Real Estate
NTST,NetSTREIT Corp. Common Stock,21.39,2171683877.0,913125,Real Estate
ADAMN,Adamas Trust Inc. 8.00% Series D Fixed-to-Floating Rate Cumulative Redeemable Preferred Stock,23.96,2153072148.0,2726,Real Estate
DHC,Diversified Healthcare Trust Common Shares of Beneficial Interest,8.81,2132962018.0,2324077,Real Estate
PRDO,Perdoceo Education Corporation Common Stock,32.57,2042241042.0,596929,Real Estate
CIMN,Chimera Investment Corporation 9.000% Senior Notes due 2029,24.89,2004409023.0,52633,Real Estate
DEI,Douglas Emmett Inc. Common Stock,11.9,1993074677.0,1406781,Real Estate
