symbol,name,price,marketCap,volume,industry
CSCO,Cisco Systems Inc. Common Stock (DE),107.065,422113063558.0,5727020,Telecommunications
ANET,Arista Networks Inc. Common Stock,205.58,259282563136.0,921222,Telecommunications
CCZ,Comcast Holdings ZONES,64.67,229490327176.0,88,Telecommunications
VZ,Verizon Communications Inc. Common Stock,47.345,196707831939.0,2741199,Telecommunications
TMUS,T-Mobile US Inc. Common Stock,164.565,176524203993.0,959821,Telecommunications
T,AT&T Inc.,25.39,173982071654.0,5232657,Telecommunications
TBB,AT&T Inc. 5.350% Global Notes due 2066,19.4501,139075712625.0,26189,Telecommunications
LITE,Lumentum Holdings Inc. Common Stock,971.675,87159247500.0,1573711,Telecommunications
CMCSA,Comcast Corporation Class A Common Stock,22.9,81263777522.0,5174254,Telecommunications
WBD,Warner Bros. Discovery Inc. Series A Common Stock ,30.805,77342215588.0,36567486,Telecommunications
FFIV,F5 Inc. Common Stock,449.74,25467508833.0,65122,Telecommunications
ROKU,Roku Inc. Class A Common Stock,154.345,22907725770.0,304653,Telecommunications
CHTR,Charter Communications Inc. Class A Common Stock New,121.85,13961267400.0,369592,Telecommunications
ESE,ESCO Technologies Inc. Common Stock,262.62,6803845246.0,53447,Telecommunications
LUMN,Lumen Technologies Inc. Common Stock,6.445,6647665629.0,979629,Telecommunications
TDS,Telephone and Data Systems Inc. Common Shares,37.16,4277116000.0,163006,Telecommunications
LILAP,Liberty Latin America Ltd. 9.0% Fixed Rate Cumulative Perpetual Redeemable Series A Preference Shares,20.78,4070802000.0,5472,Telecommunications
AD,Array Digital Infrastructure Inc. Common Shares,35.71,3088915000.0,24157,Telecommunications
EXTR,Extreme Networks Inc. Common Stock,22.28,2944763085.0,194237,Telecommunications
ADEA,Adeia Inc. Common Stock,25.65,2828685848.0,126524,Telecommunications
DGII,Digi International Inc. Common Stock,73.69,2796397184.0,49399,Telecommunications
CHTRP,Charter Communications Inc. Series A Cumulative Redeemable Preferred Stock,22.65,2595180194.0,1144,Telecommunications
ZD,Ziff Davis Inc. Common Stock,56.92,1951627879.0,39274,Telecommunications
ATEN,A10 Networks Inc. Common Stock,26.83,1948100033.0,95327,Telecommunications
LILA,Liberty Latin America Ltd. Class A Common Stock,8.94,1751346000.0,84411,Telecommunications
LILAK,Liberty Latin America Ltd. Class C Common Stock,8.855,1734694500.0,181711,Telecommunications
IDT,IDT Corporation Class B Common Stock,69.75,1734582479.0,19007,Telecommunications
ATEX,Anterix Inc. Common Stock,82.875,1625161015.0,42358,Telecommunications
UZD,Array Digital Infrastructure Inc. 6.250% Senior Notes due 2069,18.4,1582400000.0,529,Telecommunications
UZF,Array Digital Infrastructure Inc. 5.500% Senior Notes due 2070,16.5,1419000000.0,139,Telecommunications
UZE,Array Digital Infrastructure Inc. 5.500% Senior Notes due 2070,16.365,1407390000.0,619,Telecommunications
NSSC,NAPCO Security Technologies Inc. Common Stock,36.24,1296248157.0,33649,Telecommunications
GLIBA,Liberty Capital Corporation Series A GCI Group Common Stock,24.5472,979555869.0,3323,Telecommunications
GLIBK,Liberty Capital Corporation Series C GCI Group Common Stock,24.48,976874253.0,37235,Telecommunications
SHEN,Shenandoah Telecommunications Co Common Stock,12.05,643044394.0,87757,Telecommunications
MATW,Matthews International Corporation Class A Common Stock,19.94,622390670.0,115092,Telecommunications
AMCX,AMC Global Media Inc. Class A Common Stock,12.035,496443401.0,27667,Telecommunications
OPTU,Optimum Communications Inc. Class A common stock,1.0723,488523640.0,224407,Telecommunications
ATNI,ATN International Inc. Common Stock,29.56,455323233.0,7008,Telecommunications
AIOT,PowerFleet Inc. Common Stock,2.915,391268551.0,284239,Telecommunications
LTRX,Lantronix Inc. Common Stock,6.22,290507041.0,235671,Telecommunications
TTGT,TechTarget Inc. Common Stock,3.8,274864108.0,13560,Telecommunications
TBCH,Turtle Beach Corporation Common Stock,12.71,227632427.0,69256,Telecommunications
SPOK,Spok Holdings Inc. Common Stock,10.53,220267983.0,14182,Telecommunications
SIDU,Sidus Space Inc. Class A Common Stock,2.105,213079311.0,1186188,Telecommunications
CXDO,Crexendo Inc. Common Stock,5.86,194867209.0,35145,Telecommunications
BWEN,Broadwind Inc. Common Stock,4.28,101253556.0,27043,Telecommunications
AMPG,Amplitech Group Inc. Common Stock,3.335,100196363.0,359808,Telecommunications
CABO,Cable One Inc. Common Stock,17.2,97591510.0,17749,Telecommunications
INSG,Inseego Corp. Common Stock,4.245,69705413.0,33806,Telecommunications
REKR,Rekor Systems Inc. Common Stock,0.4708,64799262.0,414504,Telecommunications
KSCP,Knightscope Inc. Class A Common Stock,1.125,26570652.0,495187,Telecommunications
NXPL,NextPlat Corp Common Stock,9.4225,25565334.0,1754,Telecommunications
INTZ,Intrusion Inc. Common Stock,0.7402,18140047.0,26570,Telecommunications
FOXX,Foxx Development Holdings Inc. Common Stock,2.51,17673392.0,497,Telecommunications
IQST,iQSTEL Inc. Common Stock,0.9673,10558910.0,255143,Telecommunications
MYSE,Myseum.AI Inc. Common Stock,1.84,9561431.0,19587,Telecommunications
AMPGZ,Amplitech Group Inc. Series B Right,0.141,4236188.0,27,Telecommunications
FOXXW,Foxx Development Holdings Inc. Warrant,0.0653,459790.0,1050,Telecommunications
TMUSZ,T-Mobile US Inc. 5.500% Senior Notes due March 2070,19.5,0.0,309,Telecommunications
TMUSL,T-Mobile US Inc. 6.250% Senior Notes due 2069,22.25,0.0,3489,Telecommunications
TMUSI,T-Mobile US Inc. 5.500% Senior Notes due June 2070,19.65,0.0,571,Telecommunications
