symbol,name,price,marketCap,volume,industry
BRK/A,Berkshire Hathaway Inc.,766978.83,1128129219597.0,58,Uncategorized
BRK/B,Berkshire Hathaway Inc.,510.7,1126763217170.0,1146297,Uncategorized
TPGXL,TPG Operating Group II L.P. 6.950% Fixed-Rate Junior Subordinated Notes due 2064,21.38,7799975070.0,7921,Uncategorized
OTF,Blue Owl Technology Finance Corp. Common Stock,10.915,5001093521.0,477201,Uncategorized
GEF,Greif Inc. Class A Common Stock,83.77,3867520250.0,28049,Uncategorized
BELFB,Bel Fuse Inc. Class B Common Stock,240.1,3466911945.0,78479,Uncategorized
BELFA,Bel Fuse Inc. Class A Common Stock,194.91,2814393200.0,10197,Uncategorized
NMFCZ,New Mountain Finance Corporation 8.250% Notes due 2028,25.33,2694123142.0,1067,Uncategorized
BTX,BlackRock Technology and Private Equity Term Trust Common Shares of Beneficial Interest,8.7782,2069865975.0,84693,Uncategorized
VSECU,VSE Corporation Tangible Equity Units,47.96,1345996057.0,2366,Uncategorized
CNL,Collective Mining Ltd. Common Shares,12.735,1181078374.0,37005,Uncategorized
DEC,Diversified Energy Company Common Stock,14.05,1078425889.0,106586,Uncategorized
KBDC,Kayne Anderson BDC Inc. Common Stock,13.45,888208545.0,95533,Uncategorized
NCDL,Nuveen Churchill Direct Lending Corp. Common Stock,12.42,613387347.0,26344,Uncategorized
WHFCL,WhiteHorse Finance Inc. 7.875% Notes due 2028,25.0999,583399184.0,609,Uncategorized
TMS,Teamshares Inc. Common Stock,7.2001,530363081.0,52293,Uncategorized
PPHC,Public Policy Holding Company Inc. Common Stock,12.245,366067814.0,33663,Uncategorized
SWKHL,SWK Holdings Corporation 9.00% Senior Notes due 2027,25.09,304778040.0,2,Uncategorized
NXG,NXG NextGen Infrastructure Income Fund Common Shares of Beneficial Interest,54.525,141858456.0,21631,Uncategorized
BLUW,Blue Water Acquisition Corp. III Class A Ordinary Shares,10.365,75094425.0,13,Uncategorized
TMSWW,Teamshares Inc. Warrants,1.0,73660516.0,400,Uncategorized
ALF,Centurion Acquisition Corp. Class A Ordinary Shares,10.8,0.0,9,Uncategorized
FIGXW,FIGX Capital Acquisition Corp. Warrant,0.1795,0.0,19500,Uncategorized
ALISU,Calisa Acquisition Corp Units,10.79,0.0,1,Uncategorized
EURK,Eureka Acquisition Corp Class A Ordinary Share,11.33,0.0,1251,Uncategorized
ATII,Archimedes Tech SPAC Partners II Co. Ordinary Shares,10.66,0.0,1891,Uncategorized
XIIIU,Churchill Capital Corp XIII Units,10.592,0.0,100,Uncategorized
ALIS,Calisa Acquisition Corp Ordinary shares,10.29,0.0,51,Uncategorized
FACT,FACT II Acquisition Corp. Class A Ordinary Shares,10.71,0.0,5,Uncategorized
GHXI,Gores Holdings XI Inc. Class A Ordinary Shares,9.99,0.0,10,Uncategorized
GHXIW,Gores Holdings XI Inc. Warrant,0.6,0.0,4700,Uncategorized
GSHR,Gesher Acquisition Corp. II Class A Ordinary Shares,10.54,0.0,1,Uncategorized
GSRF,GSR IV Acquisition Corp. Class A ordinary share,10.23,0.0,2,Uncategorized
GTEN,Gores Holdings X Inc. Class A ordinary shares,10.53,0.0,11,Uncategorized
GPATW,GP-Act III Acquisition Corp. Warrants,0.1121,0.0,1000,Uncategorized
GTENW,Gores Holdings X Inc. Warrants,0.6513,0.0,19,Uncategorized
SCPQ,Social Commerce Partners Corporation Class A Ordinary Shares,10.03,0.0,3,Uncategorized
GPAC,General Purpose Acquisition Corp. Class A Ordinary Shares,10.06,0.0,25008,Uncategorized
GPACU,General Purpose Acquisition Corp. Units,10.18,0.0,100,Uncategorized
GPAT,GP-Act III Acquisition Corp. Class A Ordinary Share,11.15,0.0,79,Uncategorized
GTENU,Gores Holdings X Inc. Units,10.65,0.0,12,Uncategorized
FWACR,Futurewave Acquisition Corporation Rights,0.1601,0.0,13038,Uncategorized
FWACU,Futurewave Acquisition Corporation Units,10.24,0.0,71,Uncategorized
ARCI,Archimedes Tech SPAC Partners III Co. Ordinary Share,10.1,0.0,13,Uncategorized
FSHP,Flag Ship Acquisition Corp. Ordinary Shares,11.305,0.0,4,Uncategorized
FSHPR,Flag Ship Acquisition Corp. Right,0.0853,0.0,52786,Uncategorized
FJDIU,ARC Group Securities Acquisition I Units,10.005,0.0,2,Uncategorized
GIWWR,GigCapital8 Corp. Rights,0.25,0.0,2,Uncategorized
GECCH,Great Elm Capital Corp. 8.125% Notes Due 2029,24.94,0.0,12,Uncategorized
GCGR,General Catalyst Global Resilience Merger Corp. Class A Ordinary Shares,10.135,0.0,12,Uncategorized
APACR,StoneBridge Acquisition II Corporation Rights,0.12,0.0,78,Uncategorized
FVAV,Fortress Value Acquisition Corp. V Class A Ordinary Shares,10.2856,0.0,5,Uncategorized
FWAC,Futurewave Acquisition Corporation Ordinary Shares,9.94,0.0,8,Uncategorized
GCGRW,General Catalyst Global Resilience Merger Corp. Warrants,0.7,0.0,25000,Uncategorized
BLRK,Bluerock Acquisition Corp. Class A Ordinary Shares,10.125,0.0,45,Uncategorized
CHPG,ChampionsGate Acquisition Corporation Class A Ordinary Share,10.44,0.0,689,Uncategorized
CHPGR,ChampionsGate Acquisition Corporation Rights,0.1303,0.0,189,Uncategorized
TVIV,Texas Ventures Acquisition IV Corp Class A Ordinary Shares,9.945,0.0,50,Uncategorized
CHAR,Charlton Aria Acquisition Corporation Class A Ordinary Shares,10.99,0.0,2,Uncategorized
BPAC,Blueport Acquisition Ltd Class A Ordinary Shares,10.19,0.0,1,Uncategorized
CEPV,Cantor Equity Partners V Inc. Class A Ordinary Shares,10.36,0.0,2712,Uncategorized
BLZRU,Trailblazer Acquisition Corp. Unit,10.29,0.0,149,Uncategorized
CRANU,Crane Harbor Acquisition Corp. II Units,10.31,0.0,1300,Uncategorized
CCCT,Columbus Circle Capital Corp III Class A Ordinary Shares,9.83,0.0,9,Uncategorized
CCCTU,Columbus Circle Capital Corp III Units,9.9422,0.0,124,Uncategorized
CATL, Catalyst Acquisition Corp. Class A Ordinary Share,9.87,0.0,35739,Uncategorized
CATLR,Catalyst Acquisition Corp. Rights,0.19,0.0,325001,Uncategorized
CAPN,Cayson Acquisition Corp Ordinary shares,11.29,0.0,392,Uncategorized
CAPNU,Cayson Acquisition Corp Unit,11.17,0.0,180,Uncategorized
CAQ,Cambridge Acquisition Corp. Class A Ordinary Shares,9.99,0.0,8,Uncategorized
CCXIW,Churchill Capital Corp XI Warrants,6.1,0.0,2074,Uncategorized
CCCTW,Columbus Circle Capital Corp III Warrants,0.37,0.0,83260,Uncategorized
CCII,Cohen Circle Acquisition Corp. II Class A Ordinary Shares,10.31,0.0,101051,Uncategorized
CCIIW,Cohen Circle Acquisition Corp. II Warrant,0.7,0.0,211,Uncategorized
BRTMU,B&R Technology Merger Corp. Units,9.99,0.0,7,Uncategorized
WENN,Wen Acquisition Corp Class A Ordinary Shares,10.395,0.0,54,Uncategorized
CCIIU,Cohen Circle Acquisition Corp. II Unit,10.4701,0.0,6,Uncategorized
BEAGR,Bold Eagle Acquisition Corp. Right,0.2101,0.0,964,Uncategorized
BEAG,Bold Eagle Acquisition Corp. Class A Ordinary Shares,10.9,0.0,9657,Uncategorized
VHCP,Vine Hill Capital Investment Corp. II Class A Ordinary Shares,10.09,0.0,17,Uncategorized
DRDB,Roman DBDR Acquisition Corp. II Ordinary shares,10.67,0.0,5,Uncategorized
DRDBU,Roman DBDR Acquisition Corp. II Unit,10.72,0.0,3,Uncategorized
DRDBW,Roman DBDR Acquisition Corp. II Warrants,0.15,0.0,52,Uncategorized
VLOS,Velos Acquisition I Corp. Class A Ordinary shares,10.67,0.0,510,Uncategorized
DTSQ,DT Cloud Star Acquisition Corporation Ordinary Shares,11.5,0.0,81,Uncategorized
ECCU,Eagle Point Credit Company 7.75% Notes due 2030,24.9901,0.0,358,Uncategorized
ALOVW,Aldabra 4 Liquidity Opportunity Vehicle Inc. Warrants,0.3684,0.0,122,Uncategorized
XCBE,X3 Acquisition Corp. Ltd. Class A Ordinary Shares,10.01,0.0,3,Uncategorized
DYNC,Dynamix Corporation Class A Ordinary Shares,10.89,0.0,2100,Uncategorized
DYNCW,Dynamix Corporation Warrant,0.12,0.0,42,Uncategorized
ALOV,Aldabra 4 Liquidity Opportunity Vehicle Inc. Class A Ordinary Shares,9.99,0.0,26,Uncategorized
DBL,DoubleLine Opportunistic Credit Fund Common Shares of Beneficial Interest,13.8711,0.0,22845,Uncategorized
BIXI,Bitcoin Infrastructure Acquisition Corp Ltd. Class A Ordinary Shares,10.095,0.0,8,Uncategorized
BKHAU,Black Hawk Acquisition Corporation Units,12.0,0.0,8,Uncategorized
BIXIW,Bitcoin Infrastructure Acquisition Corp Ltd. Warrant,0.35,0.0,2060,Uncategorized
DMAA,Drugs Made In America Acquisition Corp. Ordinary Shares,10.84,0.0,62,Uncategorized
DMIIU,Drugs Made In America Acquisition II Corp. Unit,10.1999,0.0,50,Uncategorized
OHAC,Oceanhawk Acquisition Corp. Class A Ordinary Shares,9.99,0.0,2,Uncategorized
OHACR,Oceanhawk Acquisition Corp. Rights,0.25,0.0,50,Uncategorized
OHACU,Oceanhawk Acquisition Corp. Units,10.24,0.0,24,Uncategorized
OIM,OneIM Acquisition Corp. Class A Ordinary Shares,10.13,0.0,13,Uncategorized
OIMAW,OneIM Acquisition Corp. Warrant,0.72,0.0,193,Uncategorized
OCCIM,OFS Credit Company Inc. 7.875% Series F Term Preferred Stock,25.0934,0.0,45,Uncategorized
SPEG,Silver Pegasus Acquisition Corp Class A Ordinary Shares,10.36,0.0,562,Uncategorized
SPEGR,Silver Pegasus Acquisition Corp Rights.,0.16,0.0,6853,Uncategorized
SPEGU,Silver Pegasus Acquisition Corp Unit,10.48,0.0,3,Uncategorized
NTWO,Newbury Street II Acquisition Corp Class A Ordinary Shares,10.9,0.0,15053,Uncategorized
NTWOW,Newbury Street II Acquisition Corp Warrant,1.09,0.0,607,Uncategorized
SPKL,Spark I Acquisition Corp. Class A Ordinary Share,11.59,0.0,149,Uncategorized
PACH,Pioneer Acquisition I Corp Class A Ordinary Shares,10.34,0.0,4,Uncategorized
OXLCI,Oxford Lane Capital Corp. 8.75% Notes due 2030,25.28,0.0,1657,Uncategorized
SOCA,Solarius Capital Acquisition Corp. Class A Ordinary Share,10.345,0.0,8,Uncategorized
SOCAW,Solarius Capital Acquisition Corp. Warrant,0.195,0.0,3200,Uncategorized
