symbol,name,price,marketCap,volume,industry
SO,Southern Company (The) Common Stock,92.94,106914734060.0,8958397,Utilities
CEG,Constellation Energy Corporation Common Stock ,273.71,98861332144.0,2329775,Utilities
DUK,Duke Energy Corporation (Holding Company) Common Stock,124.28,96888217849.0,5075559,Utilities
WM,Waste Management Inc. Common Stock,226.43,90507509113.0,2213021,Utilities
WMB,Williams Companies Inc. (The) Common Stock,70.43,86135767804.0,7524474,Utilities
EPD,Enterprise Products Partners L.P. Common Stock,37.87,81932436923.0,2841451,Utilities
KMI,Kinder Morgan Inc. Common Stock,31.4,69921585595.0,9056313,Utilities
AEP,American Electric Power Company Inc. Common Stock,128.32,69857068209.0,4882866,Utilities
ET,Energy Transfer LP Common Units ,20.28,69786710138.0,10888269,Utilities
RSG,Republic Services Inc. Common Stock,209.62,64492545917.0,1130105,Utilities
D,Dominion Energy Inc. Common Stock,68.75,60462558956.0,2900827,Utilities
SRE,DBA Sempra Common Stock,87.73,57349750290.0,3332994,Utilities
TRGP,Targa Resources Inc. Common Stock,264.6,56794776734.0,798008,Utilities
SOMN,Southern Company (The) 2025 Series A Corporate Units,49.17,56563347038.0,10277,Utilities
OKE,ONEOK Inc. Common Stock,88.24,55604210282.0,4526531,Utilities
CIEN,Ciena Corporation Common Stock,390.76,55313219801.0,1245552,Utilities
LNG,Cheniere Energy Inc. Common Stock,258.08,54081146093.0,1299176,Utilities
VST,Vistra Corp. Common Stock,155.94,52580234060.0,4022304,Utilities
ETR,Entergy Corporation Common Stock,108.06,49479252687.0,3018805,Utilities
XEL,Xcel Energy Inc. Common Stock,77.69,48527839233.0,5178197,Utilities
EXC,Exelon Corporation Common Stock,45.63,47101748514.0,6520445,Utilities
PCG,Pacific Gas & Electric Co. Common Stock,17.43,46714325945.0,39509090,Utilities
ED,Consolidated Edison Inc. Common Stock,107.95,39782781655.0,2043622,Utilities
PEG,Public Service Enterprise Group Incorporated Common Stock,76.62,38181385821.0,3593951,Utilities
WEC,WEC Energy Group Inc. Common Stock,109.28,35595302092.0,2032694,Utilities
PPLC,PPL Corporation Corporate Units,46.88,35270184971.0,29851,Utilities
VG,Venture Global Inc. Class A common stock,13.08,32495403032.0,11548978,Utilities
CQP,Cheniere Energy Partners LP Common Units,67.0,32431626241.0,169779,Utilities
AEE,Ameren Corporation Common Stock,109.5,30304301952.0,2292224,Utilities
DTE,DTE Energy Company Common Stock,141.72,29490241139.0,1381720,Utilities
NRG,NRG Energy Inc. Common Stock,138.47,29215296501.0,2648056,Utilities
ATO,Atmos Energy Corporation Common Stock,172.89,28858768026.0,812727,Utilities
FTS,Fortis Inc. Common Shares,56.53,28781288207.0,422963,Utilities
FE,FirstEnergy Corp. Common Stock,48.43,28023531907.0,6103597,Utilities
CNP,CenterPoint Energy Inc (Holding Co) Common Stock,41.92,27613554473.0,5552461,Utilities
EIX,Edison International Common Stock,71.46,27498806939.0,3824300,Utilities
ES,Eversource Energy (D/B/A) Common Stock,71.95,27058957799.0,2812827,Utilities
PPL,PPL Corporation Common Stock,35.2,26482732742.0,6078784,Utilities
AWK,American Water Works Company Inc. Common Stock,131.3,26093116256.0,2497743,Utilities
